Game,Date,Stakes (EUR),Total Paid (EUR),Profit (EUR),Source,Scraped At
eurojackpot,2012-03-23,13155414.0,3344032.8,9811381.2,api,2026-07-20T15:07:11.100891+00:00
eurojackpot,2012-03-30,11727162.0,3594783.0,8132379.0,api,2026-07-20T15:07:11.387322+00:00
eurojackpot,2012-04-06,12505570.0,3478457.2,9027112.8,api,2026-07-20T15:07:11.706116+00:00
eurojackpot,2012-04-13,13027098.0,3207821.5,9819276.5,api,2026-07-20T15:09:17.478938+00:00
eurojackpot,2012-04-20,12608568.0,3933632.1,8674935.9,api,2026-07-20T15:09:18.321665+00:00
eurojackpot,2012-04-27,12128078.0,3310632.2,8817445.8,api,2026-07-20T15:09:19.103023+00:00
eurojackpot,2012-05-04,12061678.0,3138632.8,8923045.2,api,2026-07-20T15:09:19.900811+00:00
eurojackpot,2012-05-11,12640608.0,23371028.200000003,-10730420.200000003,api,2026-07-20T15:09:20.684847+00:00
eurojackpot,2012-05-18,11141190.0,3101945.8000000003,8039244.199999999,api,2026-07-20T15:09:21.487322+00:00
eurojackpot,2012-05-25,10681774.0,2900147.0999999996,7781626.9,api,2026-07-20T15:09:22.316089+00:00
eurojackpot,2012-06-01,10897248.0,2839742.1999999997,8057505.800000001,api,2026-07-20T15:09:23.100798+00:00
eurojackpot,2012-06-08,11088516.0,3286719.9,7801796.1,api,2026-07-20T15:09:23.879842+00:00
eurojackpot,2012-06-15,11132242.0,3038017.8,8094224.2,api,2026-07-20T15:09:24.679330+00:00
eurojackpot,2012-06-22,11181140.0,3040043.2,8141096.8,api,2026-07-20T15:09:25.467174+00:00
eurojackpot,2012-06-29,11447588.0,3416119.5,8031468.5,api,2026-07-20T15:09:26.246492+00:00
eurojackpot,2012-07-06,12008478.0,3267383.4000000004,8741094.6,api,2026-07-20T15:09:27.037583+00:00
eurojackpot,2012-07-13,13483642.0,3823052.5,9660589.5,api,2026-07-20T15:09:27.860784+00:00
eurojackpot,2012-07-20,12944940.0,3601936.1999999993,9343003.8,api,2026-07-20T15:09:28.633032+00:00
eurojackpot,2012-07-27,13120050.0,3658311.6,9461738.4,api,2026-07-20T15:09:29.459411+00:00
eurojackpot,2012-08-03,14542212.0,4060616.5999999996,10481595.4,api,2026-07-20T15:09:30.243747+00:00
eurojackpot,2012-08-10,21983676.0,33129349.300000004,-11145673.300000004,api,2026-07-20T15:09:31.050810+00:00
eurojackpot,2012-08-17,11979506.0,3336709.4,8642796.6,api,2026-07-20T15:09:31.832571+00:00
eurojackpot,2012-08-24,11502104.0,14471893.9,-2969789.9000000004,api,2026-07-20T15:09:32.654702+00:00
eurojackpot,2012-08-31,11568548.0,3229603.3,8338944.7,api,2026-07-20T15:09:33.446094+00:00
eurojackpot,2012-09-07,11642882.0,2949038.4000000004,8693843.6,api,2026-07-20T15:09:34.218227+00:00
eurojackpot,2012-09-14,11707412.0,2962753.7,8744658.3,api,2026-07-20T15:09:35.021613+00:00
eurojackpot,2012-09-21,12088106.0,3878562.1,8209543.9,api,2026-07-20T15:09:35.805060+00:00
eurojackpot,2012-09-28,12677730.0,3452233.5,9225496.5,api,2026-07-20T15:09:36.595145+00:00
eurojackpot,2012-10-05,12893822.0,3188781.1000000006,9705040.899999999,api,2026-07-20T15:09:37.405584+00:00
eurojackpot,2012-10-12,13597774.0,4356957.4,9240816.6,api,2026-07-20T15:09:38.204871+00:00
eurojackpot,2012-10-19,13938986.0,3456392.1,10482593.9,api,2026-07-20T15:09:38.971235+00:00
eurojackpot,2012-10-26,14364334.0,25063271.5,-10698937.5,api,2026-07-20T15:09:39.764130+00:00
eurojackpot,2012-11-02,12114622.0,4083528.7,8031093.3,api,2026-07-20T15:09:40.535112+00:00
eurojackpot,2012-11-09,11851646.0,3309290.6,8542355.4,api,2026-07-20T15:09:41.316735+00:00
eurojackpot,2012-11-16,12104422.0,3065440.1,9038981.9,api,2026-07-20T15:09:42.128404+00:00
