Date,Total Stakes,Total Paid,Profit
Σάββατο 16/08/2025,"250,331.00 €","54,356.00 €","195,975.00 €"
Σάββατο 23/08/2025,"225,598.00 €","62,723.00 €","162,875.00 €"
Σάββατο 30/08/2025,"251,111.00 €","138,365.00 €","112,746.00 €"
Τετάρτη 03/09/2025,"250,210.00 €","92,436.00 €","157,774.00 €"
Σάββατο 06/09/2025,"253,270.00€","146,734.00€","106,536.00€"
Τετάρτη 27/08/2025,"246,860.00€","112,380.00€","134,480.00€"
Τετάρτη 20/08/2025,"256,358.00€","89,225.00€","167,133.00€"
Τετάρτη 13/08/2025,"284,567.00€","70,789.00€","213,778.00€"
Σάββατο 09/08/2025,"277,516.00€","115,592.00€","161,924.00€"
Τετάρτη 06/08/2025,"285,590.00€","58,263.00€","227,327.00€"
Σάββατο 02/08/2025,"276,876.00€","127,507.00€","149,369.00€"
Τετάρτη 30/07/2025,"277,427.00€","146,279.00€","131,148.00€"
Σάββατο 26/07/2025,"255,747.00€","49,353.00€","206,394.00€"
Τετάρτη 23/07/2025,"257,240.00€","134,525.00€","122,715.00€"
Σάββατο 19/07/2025,"258,308.00€","78,725.00€","179,583.00€"
Τετάρτη 16/07/2025,"269,683.00€","138,157.00€","131,526.00€"
Σάββατο 12/07/2025,"265,963.00€","282,029.00€","-16,066.00€"
Τετάρτη 09/07/2025,"266,247.00€","66,471.00€","199,776.00€"
Σάββατο 05/07/2025,"267,017.00€","119,118.00€","147,899.00€"
Τετάρτη 02/07/2025,"272,582.00€","124,207.00€","148,375.00€"
Σάββατο 28/06/2025,"267,516.00€","127,196.00€","140,320.00€"
Τετάρτη 25/06/2025,"261,101.00€","124,013.00€","137,088.00€"
Σάββατο 21/06/2025,"255,033.00€","55,055.00€","199,978.00€"
Τετάρτη 18/06/2025,"262,188.00€","95,477.00€","166,711.00€"
Σάββατο 14/06/2025,"263,529.00€","116,438.00€","147,091.00€"
Τετάρτη 11/06/2025,"255,490.00€","139,423.00€","116,067.00€"
Σάββατο 07/06/2025,"261,377.00€","261,260.00€",117.00€
Τετάρτη 04/06/2025,"269,484.00€","48,997.00€","220,487.00€"
Σάββατο 31/05/2025,"276,832.00€","77,174.00€","199,658.00€"
Τετάρτη 28/05/2025,"269,077.00€","58,341.00€","210,736.00€"
