Date,Total Stakes,Total Paid,Profit
 Πέμπτη 14 Αυγούστου 2025,"7,652,587.00 €","1,700,526.00 €","5,952,061.00 €"
 Κυριακή 17 Αυγούστου 2025,"8,831,086.00 €","31,390,048.88 €","-22,558,962.88 €"
,,,
,,,
 Κυριακή 24 Αυγούστου 2025,"1,510,560.00 €","218,852.00 €","1,291,708.00 €"
 Τρίτη 2 Σεπτεμβρίου 2025,"1,214,645.00 €","2,780,929.43 €","-1,566,284.43 €"
 Πέμπτη 4 Σεπτεμβρίου 2025,"1,112,491.00 €","240,706.50 €","871,784.50 €"
 Κυριακή 31 Αυγούστου 2025,"1,214,645.00€","200,053.00€","1,014,592.00€"
 Πέμπτη 28 Αυγούστου 2025,"1,654,941.00€","545,075.50€","1,109,865.50€"
 Τρίτη 26 Αυγούστου 2025,"1,256,149.00€","345,033.50€","911,115.50€"
 Πέμπτη 21 Αυγούστου 2025,"1,510,560.00€","218,852.00€","1,291,708.00€"
 Τρίτη 19 Αυγούστου 2025,"1,145,206.00€","404,437.50€","740,768.50€"
 Τρίτη 12 Αυγούστου 2025,"7,652,587.00€","1,689,551.00€","5,963,036.00€"
 Κυριακή 10 Αυγούστου 2025,"7,108,185.00€","1,605,615.00€","5,502,570.00€"
 Πέμπτη 7 Αυγούστου 2025,"7,685,851.00€","1,310,104.00€","6,375,747.00€"
 Τρίτη 5 Αυγούστου 2025,"6,233,087.00€","1,457,180.50€","4,775,906.50€"
 Κυριακή 3 Αυγούστου 2025,"5,722,441.00€","1,286,307.00€","4,436,134.00€"
 Πέμπτη 31 Ιουλίου 2025,"5,651,592.00€","1,669,256.50€","3,982,335.50€"
 Τρίτη 29 Ιουλίου 2025,"4,416,996.00€","840,794.50€","3,576,201.50€"
 Κυριακή 27 Ιουλίου 2025,"4,040,922.00€","1,060,020.00€","2,980,902.00€"
 Πέμπτη 24 Ιουλίου 2025,"4,437,357.00€","2,135,802.50€","2,301,554.50€"
 Τρίτη 22 Ιουλίου 2025,"3,414,964.00€","671,535.50€","2,743,428.50€"
 Κυριακή 20 Ιουλίου 2025,"3,252,367.00€","555,633.50€","2,696,733.50€"
 Πέμπτη 17 Ιουλίου 2025,"3,930,879.00€","1,057,073.00€","2,873,806.00€"
 Τρίτη 15 Ιουλίου 2025,"3,154,214.00€","764,058.00€","2,390,156.00€"
 Κυριακή 13 Ιουλίου 2025,"2,996,090.00€","677,184.00€","2,318,906.00€"
 Πέμπτη 10 Ιουλίου 2025,"3,598,081.00€","733,525.00€","2,864,556.00€"
 Τρίτη 8 Ιουλίου 2025,"2,678,001.00€","497,491.00€","2,180,510.00€"
 Κυριακή 6 Ιουλίου 2025,"2,551,891.00€","476,133.00€","2,075,758.00€"
 Πέμπτη 3 Ιουλίου 2025,"3,067,197.00€","668,676.00€","2,398,521.00€"
 Τρίτη 1 Ιουλίου 2025,"2,330,197.00€","444,077.00€","1,886,120.00€"
 Κυριακή 29 Ιουνίου 2025,"2,132,047.00€","458,469.00€","1,673,578.00€"
 Πέμπτη 26 Ιουνίου 2025,"2,627,056.00€","637,844.00€","1,989,212.00€"
 Τρίτη 24 Ιουνίου 2025,"1,922,583.00€","422,598.00€","1,499,985.00€"
 Κυριακή 22 Ιουνίου 2025,"2,208,829.00€","403,659.00€","1,805,170.00€"
 Πέμπτη 19 Ιουνίου 2025,"2,208,829.00€","403,659.00€","1,805,170.00€"
 Τρίτη 17 Ιουνίου 2025,"1,602,325.00€","421,649.50€","1,180,675.50€"
 Κυριακή 15 Ιουνίου 2025,"1,484,577.00€","362,199.00€","1,122,378.00€"
 Πέμπτη 12 Ιουνίου 2025,"1,999,154.00€","396,762.00€","1,602,392.00€"
 Τρίτη 10 Ιουνίου 2025,"1,458,150.00€","515,349.50€","942,800.50€"
 Κυριακή 8 Ιουνίου 2025,"1,286,420.00€","260,649.00€","1,025,771.00€"
 Πέμπτη 5 Ιουνίου 2025,"1,730,868.00€","767,327.00€","963,541.00€"
 Τρίτη 3 Ιουνίου 2025,"1,329,856.00€","371,845.00€","958,011.00€"
 Κυριακή 1 Ιουνίου 2025,"1,253,653.00€","194,256.00€","1,059,397.00€"
 Πέμπτη 29 Μαΐου 2025,"1,774,129.00€","255,315.50€","1,518,813.50€"
 Τρίτη 27 Μαΐου 2025,"1,247,871.00€","183,020.00€","1,064,851.00€"
 Κυριακή 25 Μαΐου 2025,"1,114,329.00€","176,387.00€","937,942.00€"
 Πέμπτη 22 Μαΐου 2025,"1,480,372.00€","442,022.00€","1,038,350.00€"
 Τρίτη 20 Μαΐου 2025,"1,054,318.00€","228,669.50€","825,648.50€"
 Κυριακή 18 Μαΐου 2025,"1,016,063.00€","177,471.00€","838,592.00€"
 Πέμπτη 15 Μαΐου 2025,"1,419,056.00€","421,394.00€","997,662.00€"
 Τρίτη 13 Μαΐου 2025,"1,060,070.00€","291,165.00€","768,905.00€"
 Κυριακή 11 Μαΐου 2025,"1,002,160.00€","318,009.00€","684,151.00€"
 Πέμπτη 8 Μαΐου 2025,"1,399,706.00€","180,567.50€","1,219,138.50€"
 Τρίτη 6 Μαΐου 2025,"1,009,032.00€","589,350.50€","419,681.50€"
 Κυριακή 4 Μαΐου 2025,"1,010,832.00€","124,920.00€","885,912.00€"
 Πέμπτη 1 Μαΐου 2025,"1,454,024.00€","426,041.00€","1,027,983.00€"
 Τρίτη 29 Απρίλη 2025,"1,443,493.00€","407,766.00€","1,035,727.00€"
 Πέμπτη 24 Απρίλη 2025,"2,011,574.00€","330,550.50€","1,681,023.50€"
 Τρίτη 22 Απρίλη 2025,"1,322,841.00€","246,240.50€","1,076,600.50€"
 Σάββατο 19 Απρίλη 2025,"1,136,876.00€","302,469.00€","834,407.00€"
 Τετάρτη 16 Απρίλη 2025,"1,289,944.00€","513,688.00€","776,256.00€"
 Τρίτη 15 Απρίλη 2025,"603,458.00€","403,780.00€","199,678.00€"
 Κυριακή 13 Απρίλη 2025,"1,173,271.00€","241,644.00€","931,627.00€"
 Πέμπτη 10 Απρίλη 2025,"1,664,474.00€","390,932.00€","1,273,542.00€"
 Τρίτη 8 Απρίλη 2025,"1,155,946.00€","362,553.00€","793,393.00€"
 Κυριακή 6 Απρίλη 2025,"1,087,767.00€","327,452.50€","760,314.50€"
 Πέμπτη 3 Απρίλη 2025,"1,559,947.00€","431,720.50€","1,128,226.50€"
 Τρίτη 1 Απρίλη 2025,"1,124,670.00€","202,157.50€","922,512.50€"
 Κυριακή 30 Μαρτίου 2025,"1,078,823.00€","279,909.50€","798,913.50€"
 Πέμπτη 27 Μαρτίου 2025,"1,569,404.00€","241,589.00€","1,327,815.00€"
 Τετάρτη 26 Μαρτίου 2025,"898,861.00€","255,543.50€","643,317.50€"
 Κυριακή 23 Μαρτίου 2025,"938,084.00€","1,061,631.00€","-123,547.00€"
 Πέμπτη 20 Μαρτίου 2025,"2,556,562.00€","214,826.00€","2,341,736.00€"
 Τρίτη 18 Μαρτίου 2025,"1,870,578.00€","1,229,136.50€","641,441.50€"
 Κυριακή 16 Μαρτίου 2025,"1,682,144.00€","448,985.00€","1,233,159.00€"
 Πέμπτη 13 Μαρτίου 2025,"2,348,824.00€","292,083.00€","2,056,741.00€"
 Τρίτη 11 Μαρτίου 2025,"1,684,269.00€","365,657.50€","1,318,611.50€"
 Κυριακή 9 Μαρτίου 2025,"1,617,058.00€","319,498.50€","1,297,559.50€"
 Πέμπτη 6 Μαρτίου 2025,"2,217,951.00€","569,233.00€","1,648,718.00€"
 Τρίτη 4 Μαρτίου 2025,"1,577,517.00€","487,309.00€","1,090,208.00€"
 Κυριακή 2 Μαρτίου 2025,"1,301,517.00€","198,545.00€","1,102,972.00€"
 Πέμπτη 27 Φεβρουάριου 2025,"1,913,286.00€","634,570.00€","1,278,716.00€"
 Τρίτη 25 Φεβρουάριου 2025,"1,415,674.00€","270,760.00€","1,144,914.00€"
 Κυριακή 23 Φεβρουάριου 2025,"1,332,772.00€","261,948.50€","1,070,823.50€"
 Πέμπτη 20 Φεβρουάριου 2025,"1,755,008.00€","237,162.50€","1,517,845.50€"
 Τρίτη 18 Φεβρουάριου 2025,"1,215,347.00€","223,995.00€","991,352.00€"
 Κυριακή 16 Φεβρουάριου 2025,"1,203,776.00€","193,675.50€","1,010,100.50€"
 Πέμπτη 13 Φεβρουάριου 2025,"1,750,611.00€","251,696.50€","1,498,914.50€"
 Τρίτη 11 Φεβρουάριου 2025,"1,186,910.00€","436,436.00€","750,474.00€"
 Κυριακή 9 Φεβρουάριου 2025,"1,155,429.00€","221,847.50€","933,581.50€"
 Πέμπτη 6 Φεβρουάριου 2025,"1,599,844.00€","233,188.50€","1,366,655.50€"
 Τρίτη 4 Φεβρουάριου 2025,"1,171,398.00€","229,310.00€","942,088.00€"
 Κυριακή 2 Φεβρουάριου 2025,"1,154,892.00€","235,660.00€","919,232.00€"
 Πέμπτη 30 Ιανουαρίου 2025,"1,701,206.00€","822,506.00€","878,700.00€"
 Τρίτη 28 Ιανουαρίου 2025,"7,201,275.00€","397,399.00€","6,803,876.00€"
 Κυριακή 26 Ιανουαρίου 2025,"5,163,767.00€","1,031,390.50€","4,132,376.50€"
 Πέμπτη 23 Ιανουαρίου 2025,"6,171,078.00€","1,201,637.00€","4,969,441.00€"
 Τρίτη 21 Ιανουαρίου 2025,"4,580,437.00€","680,146.50€","3,900,290.50€"
 Κυριακή 19 Ιανουαρίου 2025,"4,091,915.00€","1,189,869.50€","2,902,045.50€"
 Πέμπτη 16 Ιανουαρίου 2025,"5,086,446.00€","1,041,834.00€","4,044,612.00€"
 Τρίτη 14 Ιανουαρίου 2025,"3,792,930.00€","961,212.50€","2,831,717.50€"
 Κυριακή 12 Ιανουαρίου 2025,"3,551,908.00€","699,790.50€","2,852,117.50€"
 Πέμπτη 9 Ιανουαρίου 2025,"4,346,692.00€","1,170,722.50€","3,175,969.50€"
 Τρίτη 7 Ιανουαρίου 2025,"3,159,665.00€","744,106.50€","2,415,558.50€"
 Κυριακή 5 Ιανουαρίου 2025,"2,735,477.00€","527,705.50€","2,207,771.50€"
 Πέμπτη 2 Ιανουαρίου 2025,"3,562,930.00€","638,582.00€","2,924,348.00€"
 Τρίτη 31 Δεκέμβρη 2024,"2,497,923.00€","327,092.00€","2,170,831.00€"
 Κυριακή 29 Δεκέμβρη 2024,"3,352,495.00€","1,228,215.00€","2,124,280.00€"
 Πέμπτη 26 Δεκέμβρη 2024,"3,051,022.00€","347,356.00€","2,703,666.00€"
